6025: Datenmodell BAFU;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Lage (Geometrie);X Koordinaten;Y Koordinaten;Höhe;Identifikator;Name;Grundwasserleiter_Typ;Quelltyp;Fassungsart;Nutzungszustand;Trinkwasser;Zweck;Notwasserversrogung;Öffentliches Interesse;Schüttung minimal;Schüttung mittel;Schüttung maximal
;2717375;1216634;1203;GL_163;Brunnmettlen;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2716209;1217378;1474;GL_673;Quelle Ahornen-Alp;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2717633;1214058;1608;GL_669;Quelle Grappli;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2718186;1214279;1708;;;Kluft;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;8;
;2718196;1214217;1711;;;Karst;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;10;
;2718157;1214225;1704;;;Karst;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2718535;1214306;1793;;;Kluft;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;10;
;2720090;1214008;1958;;;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2718299;1215771;1021;GL_672;Quelle Kreuzegg-Alp;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2718878;1216776;1116;GL_675;Quelle Enzian-Alp;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2715376;1212685;1596;GL_665;Lachenalp;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2717804;1215356;1062;GL_162;Kaltenbrünnen;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2719375;1213125;1965;GL_646;Auern Oberstafel, Gumen;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Kühlwasser;nein;ja;;;
;2719895;1212895;1750;GL_647;Auern Mittelstafel;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink- und Brauchwasser;nein;ja;;;
;2719650;1212640;1765;GL_786;Chängel;gemischt;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;;
;2720700;1213010;1550;GL_648;Auern Unterstafel;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink- und Brauchwasser;nein;ja;;;
;2716354;1220901;1424;;Quelle Blossenalp;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink- und Tränkewasser;nein;ja;;;
;2716987;1221129;1440;GL_606;Quelle Muosalp;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2716522;1220138;1369;GL_997;Quelle Flüealp;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2717696;1220829;1286;GL_1004;Quelle Planggenböden;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2717276;1219247;1464;GL_819;;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink- und Tränkewasser;nein;ja;25;53;66
;2716791;1219408;1524;;;Lockergestein;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;5;7;8
;2716872;1218660;1334;GL_818;Quelle Hinter Schwändi;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink- und Tränkewasser;nein;ja;54;68;102
;2716418;1218747;1425;;;Lockergestein;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;9;
